ensembl	HUGO	ID
ENSG00000240167	RPS7P7	13354
ENSG00000229585	RPL21P44	13489
ENSG00000244422	RPL38P3	13507
ENSG00000242083	RPL7AP31	13541
ENSG00000241250	RPL17P20	13552
ENSG00000243920	RPS26P24	13569
ENSG00000241261	RPL17P19	13595
ENSG00000225405	RPS15AP17	13600
ENSG00000241344	RPL21P47	13602
ENSG00000244099	RPS23P3	13636
ENSG00000214062	RPL7P17	13865
ENSG00000214988	RPL7AP26	13936
ENSG00000239525	RPL30P5	13964
ENSG00000258013	RPL3P13	13974
ENSG00000242936	RPL30P6	14095
ENSG00000242697	RPL5P12	14108
ENSG00000239939	RPSAP34	14252
ENSG00000234492	RPL34-AS1	14255
ENSG00000109475	RPL34	14256
ENSG00000251464	RPL7L1P13	14295
ENSG00000241741	RPL7AP30	14341
ENSG00000237684	RPSAP35	14383
ENSG00000228489	RPL21P50	14476
ENSG00000184139	RPL7AP28	14540
ENSG00000213448	RPS23P2	14587
ENSG00000241923	RPL14P3	14642
ENSG00000242134	RPL5P13	14665
ENSG00000240992	RPS23P4	14705
ENSG00000145425	RPS3A	14785
ENSG00000242635	RPS14P7	14953
ENSG00000227283	RPL35AP12	14970
ENSG00000214676	RPL9P16	15039
ENSG00000214671	RPL6P12	15047
ENSG00000242882	RPL5P11	15088
ENSG00000244361	RPL30P7	15562
ENSG00000242608	RPS23P5	15587
ENSG00000240785	RPL36AP21	15682
ENSG00000242654	RPL32P14	15693
ENSG00000241668	RPL19P11	15788
ENSG00000243914	RPL5P14	15811
ENSG00000241829	RPL21P54	15866
ENSG00000244073	RPS4XP6	15903
ENSG00000145592	RPL37	15966
ENSG00000224993	RPL29P12	16025
ENSG00000244621	RPS17P11	16068
ENSG00000251597	RPL37P25	16096
ENSG00000243592	RPL17P22	16145
ENSG00000226221	RPL26P19	16155
ENSG00000240412	RPL5P15	16191
ENSG00000213891	RPL3P6	16226
ENSG00000244717	RPS27P14	16337
ENSG00000226544	RPL7P22	16396
ENSG00000182383	RPL27AP5	16451
ENSG00000244019	RPS2P24	16508
ENSG00000244363	RPL7P23	16509
ENSG00000240003	RPL7P24	16569
ENSG00000251374	RPS23P5	16597
ENSG00000186468	RPS23	16598
ENSG00000240411	RPL5P16	16603
ENSG00000243859	RPL5P17	16639
ENSG00000241965	RPS2P25	16643
ENSG00000240083	RPS3AP22	16673
ENSG00000243806	RPL7P18	16747
ENSG00000239528	RPS14P8	17030
ENSG00000197575	RPS17P2	17032
ENSG00000243758	RPL35AP15	17037
ENSG00000249582	RPL7L1P4	17040
ENSG00000241888	RPSAP37	17143
ENSG00000241458	RPL7P19	17401
ENSG00000225147	RPS12P10	17604
ENSG00000231579	RPL7P21	17612
ENSG00000241112	RPL29P14	17713
ENSG00000241907	RPS20P4	17728
ENSG00000214485	RPL7P1	17730
ENSG00000164587	RPS14	17740
ENSG00000213433	RPLP1P6	17781
ENSG00000254252	RPL7P20	17960
ENSG00000037241	RPL26L1	18060
ENSG00000254200	RPL7AP33	18071
ENSG00000242979	RPS15AP18	18268
ENSG00000243664	RPS29P12	18301
ENSG00000212802	RPL15P3	18560
ENSG00000218265	RPS4XP7	18570
ENSG00000184612	RPL7P26	18624
ENSG00000218643	RPL5P20	18647
ENSG00000214374	RPLP2P1	18889
ENSG00000237425	RPSAP2	18932
ENSG00000213916	RPL13P	18936
ENSG00000213900	RPS17P1	18982
ENSG00000231301	RPL13AP	18992
ENSG00000239257	RPL23AP1	19001
ENSG00000213880	RPL7AP7	19011
ENSG00000230449	RPL7P4	19083
ENSG00000227939	RPL3P2	19127
ENSG00000225499	RPL15P4	19150
ENSG00000224796	RPL32P1	19287
ENSG00000231500	RPS18	19305
ENSG00000225644	RPL35AP4	19317
ENSG00000204194	RPL12P1	19319
ENSG00000220583	RPL35P2	19350
ENSG00000270800	RPS10-NUDT3	19352
ENSG00000124614	RPS10	19353
ENSG00000216636	RPL7P25	19359
ENSG00000198755	RPL10A	19384
ENSG00000216412	RPL12P2	19438
ENSG00000146223	RPL7L1	19559
